Model,N_Predictions,IC,IC_pvalue,Rank_IC,Rank_IC_pvalue,MSE,MAE,R2,avg_top_return,avg_bottom_return,avg_all_return,avg_long_short,long_short_sharpe,win_rate
elastic_net,640706,0.004294440897853057,0.0005872055500349522,0.000365089600132803,0.7701091156835902,1.000050140645486,0.7279647769292623,-5.0144545646668703e-05,0.003829342919220084,-0.00822386175248797,5.30708628293543e-19,0.012053204671708053,0.043787196690084546,0.4942528735632184
xgboost,640706,0.017097640964569952,1.2204165405086832e-42,0.020092060696640015,3.2979009828248386e-58,1.010562464619266,0.7309048609366086,-0.010562468560424199,0.020801133284532005,-0.035678927581869024,1.0841774278556636e-18,0.056480060866401026,0.26608280335921236,0.5977011494252874
catboost,640706,0.013108483699355463,9.302707704273527e-26,0.010737837063132102,8.309282290410595e-18,0.9999214953759225,0.7280515521525824,7.850072441861755e-05,0.014479630723970007,-0.0237577496128453,1.9714767124878602e-19,0.03823738033681531,0.13851261977883503,0.5478927203065134
lambdarank,640706,0.015088028372204607,1.3846967456228623e-33,0.004672723410721579,0.00018383503383414843,1.0129304376785324,0.7344037432376482,-0.01293044162892576,0.014485575536077705,-0.01661757406112365,5.880362593655837e-19,0.03110314959720136,0.06605246020991189,0.5440613026819924
ridge_stacking,640706,0.01788215612937869,1.770509995074671e-46,0.01683367639399884,2.1860882477086383e-41,30.812367520175286,3.0199349121174444,-29.812367640342444,0.020496735802543405,-0.03061807277645345,5.463731847496338e-19,0.05111480857899685,0.21176683728315082,0.5823754789272031
