Model,N_Predictions,IC,IC_pvalue,Rank_IC,Rank_IC_pvalue,MSE,MAE,R2,avg_top_return,avg_bottom_return,avg_all_return,avg_long_short,long_short_sharpe,win_rate,avg_top_1_10_return,avg_top_11_20_return,avg_top_21_30_return,avg_top_31_40_return,avg_top_41_50_return,avg_top_51_60_return,avg_top_61_70_return,avg_top_71_80_return,avg_top_81_90_return,avg_top_91_100_return,avg_top_101_110_return,avg_top_111_120_return,avg_top_121_130_return,avg_top_131_140_return,avg_top_141_150_return,avg_bottom_1_10_return,avg_bottom_11_20_return,avg_bottom_21_30_return,avg_bottom_31_40_return,avg_bottom_41_50_return,avg_bottom_51_60_return,avg_bottom_61_70_return,avg_bottom_71_80_return,avg_bottom_81_90_return,avg_bottom_91_100_return,avg_bottom_101_110_return,avg_bottom_111_120_return,avg_bottom_121_130_return,avg_bottom_131_140_return,avg_bottom_141_150_return
elastic_net,306532,-0.008159776685785096,6.250191402806908e-06,0.021604906014348637,5.5535694386677616e-33,0.0481202685516494,0.06924374404532382,-0.0008035674874005139,0.019290331891010516,0.0227507015943456,0.00689267900714325,-0.0034603697033350838,-0.026369300903972718,0.52,0.047924259043207254,0.005445467600113725,0.004501269029710575,0.007616511593423799,0.007468105455451908,0.0037589814994150273,0.00402007727470456,0.006570868914892526,0.003470759985863388,0.011743777481334481,0.005426541867669358,0.004104908281702801,0.0010390375822091882,0.002920354302678838,0.00508650402621807,0.022571407707704886,0.017310510335228405,0.028370186740103526,0.014060796105821569,0.018267522745330157,0.06884148368060604,0.022913671499933248,0.004142299937457369,0.010263361156432357,0.00844065558222701,0.013825264427549246,0.021446780539357804,0.008000779992137472,0.008865779754071634,0.0377306488209855
xgboost,306532,0.028434846981595777,7.297252832552238e-56,0.05619076982039717,8.177489462336132e-213,0.04806108178274538,0.06920996114778753,0.00042739674555303253,0.05347992728168213,0.03915888194341055,0.006892679007143251,0.01432104533827159,0.046062991120556424,0.696,0.07742811196111214,0.033066924284280985,0.04994474559965329,0.014759705785151638,0.02077529094259396,0.016690453727359722,0.013762446736721586,0.015828793879447068,0.012548165934015398,0.012668237473602954,0.013216126817294366,0.01001343123102787,0.017194084989054812,0.009147763410358912,0.008734450948026473,0.05052802148124572,0.055437922550601405,0.011510701798384482,-0.001650720842321353,0.00248530065525138,0.005138793983111167,0.00240013652712916,0.0022572641212945813,0.002662402491259332,0.009680933949934512,0.014882034104612677,0.014094997478218328,0.0012207968609432753,0.006499415231137783,0.004175652815979773
catboost,306532,0.010104698107684742,2.2110592431562024e-08,0.047600097942524525,3.1253329606806376e-153,0.04808841337808664,0.06913147618410866,-0.00014104476456222592,0.007844431811467245,0.04477372705303857,0.006892679007143249,-0.036929295241571326,-0.16094276515876954,0.48,0.008171391320554909,0.011038845543979183,0.004323058569867647,0.009116798681146157,0.004169318451480919,0.007926761091715044,0.013468184111330531,0.006692887402160447,0.008908653680712957,0.007100996324194228,0.0012012347034735418,0.008508782108156488,0.0064032213356891125,0.0058370517041045926,0.007838691621627418,0.0729008440050571,0.013942860107640937,0.04747747704641766,0.009759067957080468,0.0045468913606304655,0.016417257858976457,0.015002584544620636,0.047065732030796,0.025407506751837738,0.00595902404922147,0.006040744939214365,0.010693557811313337,0.005340728624211319,0.01837519344838146,0.009437166109398383
lambdarank,306532,0.024567255168665807,3.804692120970128e-42,0.0038176948868450357,0.03454273301109886,0.04886517828264561,0.07477889822079052,-0.016296172551250043,0.060527620264021746,0.0032934317980350698,0.00689267900714325,0.05723418846598668,0.23461827930878673,0.544,0.07560446896817943,0.08861143420224743,0.017366957621638385,0.012491514185207981,0.008502555830815755,0.0075275710761420235,0.01969241626592429,0.010503283207228393,0.003682434143571429,0.029887682586648784,0.011530703227716568,0.006795846543534214,0.011226002358978825,0.013140749292318569,0.005419413937475401,0.004137171248759523,0.004523093729759045,0.0012200304155866423,-0.002030301148654109,0.0015013399177706364,0.0051157868115036175,0.003374647979085838,-0.0004079363278860908,0.0024394229931368047,0.0018560796998679189,0.004665191211439961,0.0032318853153745874,0.0005950064525054547,-0.0009426289268638709,0.0025402725353812074
ridge_stacking,306532,0.027728377010883154,3.2893496963690305e-53,0.054367101026468447,2.4456062954086557e-199,1.3060777555679488,0.6990638041846757,-26.163756905997904,0.051121148801812955,0.03694962085591614,0.00689267900714325,0.01417152794589684,0.045045710935649734,0.704,0.07784575805991795,0.0287843800101601,0.04673330833536083,0.02235016047895372,0.014895296869226192,0.0179200867252174,0.008039135734787668,0.011676514481203607,0.011652164177014942,0.01540652456702896,0.011166536994501049,0.015482819025691853,0.010815727344011095,0.009852273684098791,0.006019553353208744,0.007082522770335829,0.10254901571135205,0.0012173240860605214,-0.0010239692580496192,0.0046605442611672935,0.0021687539713226497,0.007356377217520337,0.011840594161065332,0.00861088304523606,0.007040088622560967,0.0035960995779678304,0.007999804751139554,0.0026386901714737405,-0.005489919832441145,0.0031599282705249603
