feature,mean_ic,std_ic,ic_ir,positive_ratio,valid_days,min_ic,p25_ic,median_ic,p75_ic,max_ic
obv_momentum_60d,0.0010972072909131434,0.017167384435725026,0.06391231553188,0.5376162299239222,1183,-0.06136553030231996,-0.010567213967401033,0.0015019849890322344,0.01311353655184206,0.051373395701942305
ret_skew_20d,0.0005085374253881622,0.01618602865318939,0.03141829514109732,0.5040849673202614,1224,-0.049394718850987215,-0.010197404827020253,8.986667108441105e-05,0.011184952752089222,0.05019016516874788
vol_ratio_20d,0.00043920276549145687,0.016290125955177787,0.026961287266895385,0.49513776337115073,1234,-0.06599623354671985,-0.010304397363471732,-0.00012633749714273583,0.011623404987407562,0.049550596876221695
atr_ratio,0.0003642946856993784,0.016043565274943352,0.022706591674378603,0.5072347266881029,1244,-0.046170753345864034,-0.01047798095969759,0.00023235564451606309,0.011528043719660555,0.05082242569968726
near_52w_high,0.00016203013814526123,0.016314961649895557,0.009931383329135714,0.5065359477124183,1224,-0.05430989050905821,-0.010733091345334731,0.0003056162938621194,0.011235589837846165,0.05673170442290005
downside_beta_252,5.159341621843808e-05,0.016141663424040754,0.0031962886886612247,0.5054446460980037,1102,-0.05212546911699289,-0.010839997782312497,0.00011248034957124953,0.011708252234777257,0.05295966423968727
trend_r2_60,5.12195500003738e-06,0.01588539790798387,0.0003224316463274192,0.5054852320675105,1185,-0.05477626535840278,-0.009629391013246773,0.00038884428925828514,0.010370865064252255,0.049674643263305736
momentum_60d,-1.1238441862003992e-05,0.016291391444329204,-0.0006898392872338679,0.5194256756756757,1184,-0.049416391590104414,-0.010553269866220752,0.0005354949251971787,0.010915018935375331,0.04836478730853116
blowoff_ratio,-9.079407615854452e-05,0.016336954090079292,-0.005557588988615677,0.48703403565640196,1234,-0.05486493029557559,-0.01097705950475577,-0.00039612794834374394,0.010633614357294232,0.05770588906069029
obv_divergence,-0.0001595262795095777,0.015974784592474728,-0.009986130240825035,0.49135802469135803,1215,-0.05678248631699548,-0.011032771352875951,-0.0003128026038543061,0.01098252068095455,0.054097321695026165
5_days_reversal,-0.00020782911623641335,0.016753129455089635,-0.012405390693932377,0.49878934624697335,1239,-0.069928105052694,-0.011774912986617762,-4.929708240775699e-05,0.011290276925012634,0.052671732804894004
price_ma60_deviation,-0.00027031502385971745,0.0162624627591612,-0.016622022621231816,0.4898785425101215,1235,-0.06665363110322786,-0.01110428240746511,-0.00041888185379782206,0.011001194558441132,0.04313462430348759
rsi_21,-0.00030628365629043516,0.01589004421086387,-0.019275192203746794,0.499597747385358,1243,-0.05785475534261273,-0.010878775543231207,-2.3829617187702406e-05,0.010115531387730223,0.05101254366537666
ebit,-0.00032088555028114533,0.03624720677358674,-0.008852697320527713,0.49758842443729906,1244,-0.13879651961398523,-0.019723136067546228,-0.00017218989138208376,0.01994029723216986,0.14794856485563118
making_new_low_5d,-0.00037241473534103747,0.026450748428140984,-0.014079553792316325,0.4928131416837782,974,-0.09154356902108247,-0.01835333281510711,-0.0006537218970479846,0.01682933973183128,0.09229623040598081
liquid_momentum,-0.00037721006465848804,0.016604407478209224,-0.022717466139849873,0.5194256756756757,1184,-0.04746432303861843,-0.011254038207082682,0.0009361096218492902,0.009910419253371449,0.04604283147057719
hist_vol_40d,-0.0005627538171252372,0.016677591798214236,-0.033743110152479834,0.4743694060211554,1229,-0.05460054952407006,-0.011679328165315148,-0.0011742330316742114,0.010975833309184642,0.05760083832376591
roa,-0.0005669414827025048,0.03908361920270415,-0.014505859341278167,0.5088424437299035,1244,-0.1533155816663401,-0.022153503642209818,0.0007983617385766648,0.02094446703838664,0.1367116731555302
bollinger_squeeze,-0.001066205812088122,0.025038030844032978,-0.04258345309700017,0.4693627450980392,816,-0.08893630440957906,-0.017033890350773996,-0.0009091225102674065,0.0149182402894196,0.07295377105789409
