factor,IC,IC_std,ICIR,Rank_IC,Train_IC,Train_ICIR,Test_IC,Test_ICIR,IC_Stability,coverage
avg_trade_size,0.007600669483202174,0.04379553450268681,0.17354896040225015,0.007839391302392366,0.00971474851314217,0.2131085847539388,0.0015604436833736087,0.041459799511138255,0.16062625617766957,0.9812602606506156
reversal_3d,0.012893482164248269,0.0998686777310128,0.12910436442320475,0.013539013776230343,0.013688493475108067,0.13030597700391597,0.01058163974917661,0.12734128298317224,0.7730317268601445,0.9962871489714074
trend_r2_20,0.004346812363429849,0.060617470470655244,0.07170890388001475,0.00456755437269486,0.003794770568447325,0.060837661140094285,0.00592407463480849,0.10702628674630339,1.5611153633544688,0.981435744857037
obv_divergence,-0.0006472776449871494,0.019635186059353004,-0.032965190298200706,0.001710653261772658,-0.0007183338548659626,-0.03849886140950412,-0.0004320343814856357,-0.019312374831684662,,0.9795485073010096
rsi_14,-0.008323738421944454,0.09568144272754273,-0.08699428211640453,-0.008238029866227074,-0.007722571775293419,-0.07983523752276345,-0.010052808205645528,-0.10841608870607716,1.3017435769010475,0.9869123445556567
volume_price_corr_10d,-0.004327337772328766,0.04337369345241577,-0.0997687175770766,-0.0069006072615575694,-0.0033377303979411324,-0.0769542947722036,-0.007179550109337709,-0.16573852024142957,2.151027570640933,0.9958069144147397
price_ma20_deviation,-0.011053388157363286,0.1091255572139297,-0.10129055410635135,-0.013259753343576429,-0.01117632475539598,-0.1017303714066612,-0.010702140734412731,-0.09986628190621918,0.9575724550457152,0.981435744857037
sharpe_momentum_5d,-0.00915453136053381,0.08443970253982219,-0.1084150119573963,-0.009098517358721055,-0.009325820394799796,-0.10802608116947537,-0.008657521273806474,-0.10982524528086193,0.9283388385470114,0.9943659700256606
momentum_10d,-0.011585803101209614,0.10310941468245444,-0.11236416322302241,-0.01049547083266543,-0.009321532609049402,-0.08671161265066096,-0.018119840807157655,-0.2034329615492436,1.943869272051551,0.9897896596713703
liquid_momentum_10d,-0.010671610229546782,0.06735600880350821,-0.15843590526092685,-0.012429652929254376,-0.010233721166134321,-0.14578075318493408,-0.01193523295539418,-0.2041447829940157,1.1662652090708259,0.9897138331624228
