ticker,Adj Close,Open,High,Low,Volume
AAPL,100.0,0.0,0.0,0.0,0.0
MSFT,100.0,0.0,0.0,0.0,0.0
GOOGL,100.0,0.0,0.0,0.0,0.0
GOOG,100.0,0.0,0.0,0.0,0.0
AMZN,100.0,0.0,0.0,0.0,0.0
NVDA,100.0,0.0,0.0,0.0,0.0
META,100.0,0.0,0.0,0.0,0.0
TSLA,100.0,0.0,0.0,0.0,0.0
CRM,100.0,0.0,0.0,0.0,0.0
ADBE,100.0,0.0,0.0,0.0,0.0
CRSP,100.0,0.0,0.0,0.0,0.0
GRAL,100.0,0.0,0.0,0.0,0.0
OPFI,100.0,0.0,0.0,0.0,0.0
RXRX,100.0,0.0,0.0,0.0,0.0
NVTS,100.0,0.0,0.0,0.0,0.0
HIMS,100.0,0.0,0.0,0.0,0.0
LB,100.0,0.0,0.0,0.0,0.0
LUNR,100.0,0.0,0.0,0.0,0.0
RIVN,100.0,0.0,0.0,0.0,0.0
ARM,100.0,0.0,0.0,0.0,0.0
LTBR,100.0,0.0,0.0,0.0,0.0
BABA,100.0,0.0,0.0,0.0,0.0
AGEN,100.0,0.0,0.0,0.0,0.0
NFLX,100.0,0.0,0.0,0.0,0.0
ORCL,100.0,0.0,0.0,0.0,0.0
AVGO,100.0,0.0,0.0,0.0,0.0
TXN,100.0,0.0,0.0,0.0,0.0
QCOM,100.0,0.0,0.0,0.0,0.0
INTC,100.0,0.0,0.0,0.0,0.0
AMD,100.0,0.0,0.0,0.0,0.0
NOW,100.0,0.0,0.0,0.0,0.0
AMAT,100.0,0.0,0.0,0.0,0.0
INTU,100.0,0.0,0.0,0.0,0.0
CSCO,100.0,0.0,0.0,0.0,0.0
IBM,100.0,0.0,0.0,0.0,0.0
PANW,100.0,0.0,0.0,0.0,0.0
ANET,100.0,0.0,0.0,0.0,0.0
FTNT,100.0,0.0,0.0,0.0,0.0
ZS,100.0,0.0,0.0,0.0,0.0
CRWD,100.0,0.0,0.0,0.0,0.0
TEAM,100.0,0.0,0.0,0.0,0.0
DDOG,100.0,0.0,0.0,0.0,0.0
SNOW,100.0,0.0,0.0,0.0,0.0
SMR,100.0,0.0,0.0,0.0,0.0
OKLO,100.0,0.0,0.0,0.0,0.0
UUUU,100.0,0.0,0.0,0.0,0.0
SBUX,100.0,0.0,0.0,0.0,0.0
MCD,100.0,0.0,0.0,0.0,0.0
LOW,100.0,0.0,0.0,0.0,0.0
TGT,100.0,0.0,0.0,0.0,0.0
DIS,100.0,0.0,0.0,0.0,0.0
CMCSA,100.0,0.0,0.0,0.0,0.0
VZ,100.0,0.0,0.0,0.0,0.0
T,100.0,0.0,0.0,0.0,0.0
CHTR,100.0,0.0,0.0,0.0,0.0
LULU,100.0,0.0,0.0,0.0,0.0
ULTA,100.0,0.0,0.0,0.0,0.0
UEC,100.0,0.0,0.0,0.0,0.0
NBIS,100.0,0.0,0.0,0.0,0.0
CRWV,100.0,0.0,0.0,0.0,0.0
TEM,100.0,0.0,0.0,0.0,0.0
LFMD,100.0,0.0,0.0,0.0,0.0
RGTI,100.0,0.0,0.0,0.0,0.0
QUBT,100.0,0.0,0.0,0.0,0.0
QBTS,100.0,0.0,0.0,0.0,0.0
IONQ,100.0,0.0,0.0,0.0,0.0
COIN,100.0,0.0,0.0,0.0,0.0
RBLX,100.0,0.0,0.0,0.0,0.0
HOOD,100.0,0.0,0.0,0.0,0.0
SOFI,100.0,0.0,0.0,0.0,0.0
OPEN,100.0,0.0,0.0,0.0,0.0
CLOV,100.0,0.0,0.0,0.0,0.0
SPCE,100.0,0.0,0.0,0.0,0.0
LCID,100.0,0.0,0.0,0.0,0.0
UPST,100.0,0.0,0.0,0.0,0.0
AFRM,100.0,0.0,0.0,0.0,0.0
PYPL,100.0,0.0,0.0,0.0,0.0
ROKU,100.0,0.0,0.0,0.0,0.0
SNAP,100.0,0.0,0.0,0.0,0.0
PINS,100.0,0.0,0.0,0.0,0.0
TWTR,100.0,0.0,0.0,0.0,0.0
UBER,100.0,0.0,0.0,0.0,0.0
LYFT,100.0,0.0,0.0,0.0,0.0
DASH,100.0,0.0,0.0,0.0,0.0
ABNB,100.0,0.0,0.0,0.0,0.0
DOCU,100.0,0.0,0.0,0.0,0.0
OKTA,100.0,0.0,0.0,0.0,0.0
DKNG,100.0,0.0,0.0,0.0,0.0
PENN,100.0,0.0,0.0,0.0,0.0
FUBO,100.0,0.0,0.0,0.0,0.0
TDOC,100.0,0.0,0.0,0.0,0.0
PTON,100.0,0.0,0.0,0.0,0.0
BYND,100.0,0.0,0.0,0.0,0.0
PLUG,100.0,0.0,0.0,0.0,0.0
FCEL,100.0,0.0,0.0,0.0,0.0
BLNK,100.0,0.0,0.0,0.0,0.0
CHPT,100.0,0.0,0.0,0.0,0.0
EVGO,100.0,0.0,0.0,0.0,0.0
OUST,100.0,0.0,0.0,0.0,0.0
VUZI,100.0,0.0,0.0,0.0,0.0
MVIS,100.0,0.0,0.0,0.0,0.0
LAZR,100.0,0.0,0.0,0.0,0.0
LIDR,100.0,0.0,0.0,0.0,0.0
OLED,100.0,0.0,0.0,0.0,0.0
VERI,100.0,0.0,0.0,0.0,0.0
MARA,100.0,0.0,0.0,0.0,0.0
RIOT,100.0,0.0,0.0,0.0,0.0
BTBT,100.0,0.0,0.0,0.0,0.0
EBON,100.0,0.0,0.0,0.0,0.0
