date,ticker,action,weight
2020-12-29,ABCL,BUY,0.1
2020-12-29,AIV,BUY,0.1
2020-12-29,AMC,BUY,0.1
2020-12-29,DASH,BUY,0.1
2020-12-29,ED,BUY,0.1
2020-12-29,HDSN,BUY,0.1
2020-12-29,ITIC,BUY,0.1
2020-12-29,MESO,BUY,0.1
2020-12-29,NEXT,BUY,0.1
2020-12-29,RZLT,BUY,0.1
2021-01-13,BB,BUY,0.1
2021-01-13,GLPG,BUY,0.1
2021-01-13,GNW,BUY,0.1
2021-01-13,SMP,BUY,0.1
2021-01-13,SRPT,BUY,0.1
2021-01-13,THS,BUY,0.1
2021-01-13,YALA,BUY,0.1
2021-01-13,AIV,HOLD,0.1
2021-01-13,AMC,HOLD,0.1
2021-01-13,NEXT,HOLD,0.1
2021-01-13,ABCL,SELL,0.0
2021-01-13,DASH,SELL,0.0
2021-01-13,ED,SELL,0.0
2021-01-13,HDSN,SELL,0.0
2021-01-13,ITIC,SELL,0.0
2021-01-13,MESO,SELL,0.0
2021-01-13,RZLT,SELL,0.0
2021-01-28,ARCT,BUY,0.1
2021-01-28,BBW,BUY,0.1
2021-01-28,BTBT,BUY,0.1
2021-01-28,CVAC,BUY,0.1
2021-01-28,FUBO,BUY,0.1
2021-01-28,GME,BUY,0.1
2021-01-28,PBI,BUY,0.1
2021-01-28,QS,BUY,0.1
2021-01-28,VIR,BUY,0.1
2021-01-28,AMC,HOLD,0.1
2021-01-28,AIV,SELL,0.0
2021-01-28,BB,SELL,0.0
2021-01-28,GLPG,SELL,0.0
2021-01-28,GNW,SELL,0.0
2021-01-28,NEXT,SELL,0.0
2021-01-28,SMP,SELL,0.0
2021-01-28,SRPT,SELL,0.0
2021-01-28,THS,SELL,0.0
2021-01-28,YALA,SELL,0.0
2021-02-11,CDE,BUY,0.1
2021-02-11,EDIT,BUY,0.1
2021-02-11,EOSE,BUY,0.1
2021-02-11,IMVT,BUY,0.1
2021-02-11,IRTC,BUY,0.1
2021-02-11,MESO,BUY,0.1
2021-02-11,PNRG,BUY,0.1
2021-02-11,TARS,BUY,0.1
2021-02-11,FUBO,HOLD,0.1
2021-02-11,QS,HOLD,0.1
2021-02-11,AMC,SELL,0.0
2021-02-11,ARCT,SELL,0.0
2021-02-11,BBW,SELL,0.0
2021-02-11,BTBT,SELL,0.0
2021-02-11,CVAC,SELL,0.0
2021-02-11,GME,SELL,0.0
2021-02-11,PBI,SELL,0.0
2021-02-11,VIR,SELL,0.0
2021-02-26,BB,BUY,0.1
2021-02-26,CLNE,BUY,0.1
2021-02-26,GME,BUY,0.1
2021-02-26,GSAT,BUY,0.1
2021-02-26,IMNM,BUY,0.1
2021-02-26,MFH,BUY,0.1
2021-02-26,MSTR,BUY,0.1
2021-02-26,SI,BUY,0.1
2021-02-26,VIR,BUY,0.1
2021-02-26,IMVT,HOLD,0.1
2021-02-26,CDE,SELL,0.0
2021-02-26,EDIT,SELL,0.0
2021-02-26,EOSE,SELL,0.0
2021-02-26,FUBO,SELL,0.0
2021-02-26,IRTC,SELL,0.0
2021-02-26,MESO,SELL,0.0
2021-02-26,PNRG,SELL,0.0
2021-02-26,QS,SELL,0.0
2021-02-26,TARS,SELL,0.0
2021-03-12,CAPR,BUY,0.1
2021-03-12,CRMD,BUY,0.1
2021-03-12,GEN,BUY,0.1
2021-03-12,IRTC,BUY,0.1
2021-03-12,PLTR,BUY,0.1
2021-03-12,SANA,BUY,0.1
2021-03-12,SSYS,BUY,0.1
