k,avg_return,win_rate
1,0.07444026864450941,0.38095238095238093
2,0.07946847860385228,0.6190476190476191
3,0.06964863945009075,0.6190476190476191
4,0.07140130349986364,0.7619047619047619
5,0.08380292853392748,0.7142857142857143
6,0.09715795577493597,0.8571428571428571
7,0.10379388285802324,0.8571428571428571
8,0.0865462179400365,0.8095238095238095
9,0.08870978137245596,0.7619047619047619
10,0.08061757329177188,0.6666666666666666
