date,rank,ticker,prediction,actual
2020-11-30,1,YPF,3.092184694095681,0.07157057654075527
2020-11-30,2,YUMC,3.0533817227847533,0.0065626108549130535
2020-11-30,3,YUM,3.030541929784999,-0.002835538752362976
2020-11-30,4,YETI,3.0248269015675833,0.1209434858318823
2020-11-30,5,WDC,2.978786596586312,0.13948306595365412
2020-11-30,6,ZS,2.96027485032711,0.17784911717495988
2020-11-30,7,YEXT,2.9562358081646134,-0.2067332982640716
2020-11-30,8,ZTS,2.936364680505072,-0.005486968449931351
2020-11-30,9,YMAB,2.934566036853567,0.025948496166699364
2020-11-30,10,ZION,2.9259385379627045,0.054936512049753805
2020-12-14,1,RLAY,5.792627599903794,-0.03217708808763131
2020-12-14,2,BTBT,5.78705765401667,0.754152823920266
2020-12-14,3,JKS,5.678870514941659,0.21973929236499057
2020-12-14,4,NNOX,5.492691105364578,0.07506161774591069
2020-12-14,5,LU,5.375345201932012,0.07767722473604821
2020-12-14,6,PNRG,5.375228553319977,-0.16589416763229048
2020-12-14,7,LAC,5.213537129003381,0.32444444444444454
2020-12-14,8,CLDX,5.190263559852728,-0.05921052631578938
2020-12-14,9,MSTR,5.1819275183341516,0.3095910993453297
2020-12-14,10,ICHR,5.167940689694759,-0.05089628681177982
2020-12-29,1,NEXT,14.027813493567386,0.05769230769230771
2020-12-29,2,KODK,12.310655392860241,-0.033857315598548876
2020-12-29,3,GSM,11.91300638112323,0.17532467532467533
2020-12-29,4,HDSN,8.680849019346772,0.05454545454545445
2020-12-29,5,BORR,7.575441392883338,0.15705128205128194
2020-12-29,6,DASH,7.5742585686481,0.4015714589084731
2020-12-29,7,PRLB,7.511764737216436,0.06531645569620248
2020-12-29,8,BB,7.485995195733537,0.09896602658788778
2020-12-29,9,TK,7.305443279728299,0.2093023255813955
2020-12-29,10,SMP,7.209286424464152,0.04168710152035304
2021-01-13,1,AIV,12.874108589553213,-0.032786885245901676
2021-01-13,2,ATEX,9.208844755756672,0.019456289978677876
2021-01-13,3,JKS,9.036252143739645,0.05587301587301585
2021-01-13,4,MP,8.487615527003063,-0.12737752161383287
2021-01-13,5,LEU,8.284140152658448,0.007452258965999103
2021-01-13,6,BTBT,7.372533727549676,0.07599118942731264
2021-01-13,7,COGT,7.199412259866435,-0.2406015037593986
2021-01-13,8,MRNA,7.132375233250982,0.28607125584394644
2021-01-13,9,AQST,6.942734806836213,-0.02835538752362954
2021-01-13,10,ARCT,6.727852950225012,0.002602970448629671
2021-01-28,1,MESO,14.395088286715108,0.18892508143322462
2021-01-28,2,SNOW,9.036563501828395,0.09372826126752831
2021-01-28,3,GNW,7.835282950417255,0.4305555555555556
2021-01-28,4,WLFC,7.464463652934306,0.17050691244239635
2021-01-28,5,LEU,7.450408136542505,0.1516412390198798
2021-01-28,6,LMND,7.402743512033223,0.07302204059757478
2021-01-28,7,MP,7.383571729377768,0.2067371202113606
2021-01-28,8,LRMR,7.308848909342691,0.25142857142857156
2021-01-28,9,SRPT,7.178712338494223,0.007100854321535621
2021-01-28,10,GSL,7.085698950238679,0.09617021276595761
2021-02-11,1,NOK,13.436792752428213,-0.04390243902439017
2021-02-11,2,PBI,11.466655266350442,-0.06194690265486713
2021-02-11,3,UPST,11.159283302102871,-0.3099968464206875
2021-02-11,4,HL,9.494181586480858,0.07755775577557777
2021-02-11,5,ARCT,8.488047900529994,-0.33134442046464385
2021-02-11,6,XPEV,8.384596783915116,-0.2762571610439212
2021-02-11,7,GLPG,7.652171074529858,-0.03707157845651676
2021-02-11,8,TR,7.465903789891657,-0.005165637282425584
2021-02-11,9,BLBD,7.252424634501876,0.28828828828828823
2021-02-11,10,AMC,7.137676544685048,0.427807486631016
2021-02-26,1,IRTC,12.322563977362577,-0.12293349906774398
2021-02-26,2,NG,5.527049513194656,0.031137724550898138
2021-02-26,3,UNFI,4.654046616136364,0.48128544423440456
2021-02-26,4,EDIT,4.589269050090712,0.05517555859553136
2021-02-26,5,DYN,4.174765485353273,-0.08825121819166215
2021-02-26,6,SPTN,4.093349315818291,0.15852989577619314
2021-02-26,7,BNTX,3.9933276315959474,-0.052737778593047735
2021-02-26,8,MAX,3.782867796699427,0.15787469053513625
2021-02-26,9,ASND,3.75455717648016,-0.03691036974898365
2021-02-26,10,PSNL,3.6463664019565014,-0.123580927667856
2021-03-12,1,RZLT,9.307988730224583,-0.2096597145993413
2021-03-12,2,SLNO,7.058347270320035,-0.17532467532467533
2021-03-12,3,TEVA,6.794874988081253,0.07321594068582038
2021-03-12,4,NGD,5.697581870530357,-0.052023121387283267
2021-03-12,5,FIZZ,5.267793622779786,-0.029974364030763256
2021-03-12,6,YPF,4.8571801891840805,-0.06575963718820865
2021-03-12,7,IMNM,4.617078750583567,0.09178082191780823
2021-03-12,8,FDS,4.471903032382175,0.04734641363782566
2021-03-12,9,ALKS,4.47115796338933,0.005149330587023604
