date,top_avg_prediction,top_median_prediction,top_min_prediction,top_max_prediction,top_avg_actual,top_positive_rate
2020-11-30,2.9893101758632397,2.969530723456711,2.9259385379627045,3.092184694095681,0.038223805910625186,0.7
2020-12-14,5.425548952636371,5.375286877625994,5.167940689694759,5.792627599903794,0.14524884337094987,0.6
2020-12-29,9.159451388557148,7.574849980765719,7.209286424464152,14.027813493567386,0.12275997723094825,0.9
2021-01-13,8.326587014643936,7.828336940104062,6.727852950225012,12.874108589553213,0.001832568239481891,0.6
2021-01-28,8.254138196792416,7.426575824287864,7.085698950238679,14.395088286715108,0.1669815849043585,1.0
2021-02-11,9.193773363541593,8.436322342222555,7.137676544685048,13.436792752428213,-0.02720314546525702,0.3
2021-02-26,5.05381629646879,4.134057400585782,3.6463664019565014,12.322563977362577,0.04595895204228699,0.5
2021-03-12,5.6614052358342475,5.062486905981933,4.070145940867304,9.307988730224583,-0.03976862816874569,0.4
2021-03-26,6.303343903748377,5.574145711107436,4.612992079084551,13.065310238259533,-0.06771625559665778,0.4
2021-04-12,6.770010514492822,5.2441201501949735,4.511679321989362,13.490412416388615,0.03940605219371057,0.7
2021-04-26,5.340802789161435,5.131694139786562,4.462034044184617,7.0607524788950276,-0.10931333287986018,0.2
2021-05-10,5.772368510012379,4.899407397983372,4.0760892957573605,8.570100452076712,0.047150246768503365,0.4
2021-05-24,6.993388521652301,6.360839327756786,4.668436620635155,10.973011980855311,0.20255927983007332,0.7
2021-06-08,5.939692255013891,4.767179502502401,4.363772128420066,11.733643151846962,0.004090175933759266,0.5
2021-06-22,5.485929734386721,5.154503786980884,4.589273825394922,7.419189673341633,-0.007990125712997509,0.4
2021-07-07,5.8861321395204556,5.755209858056322,4.7565348015884465,7.526328390615089,-0.0376793094240072,0.2
2021-07-21,4.817292729879421,4.546635105259278,3.5544518700061745,7.385982535072073,-0.04405739272642556,0.3
2021-08-04,5.578776245211591,5.247651978329701,4.600153237736215,9.084226275004207,-0.0313630787187041,0.4
2021-08-18,6.032671652848716,5.486813581546748,4.419974609662391,8.646304607958557,0.07155233627994363,0.8
2021-09-01,4.937500762301555,4.564504846183881,3.5744898292441336,8.218304843048166,-0.05911873615794311,0.3
2021-09-16,5.655533779875042,5.294189478021707,4.681267456211389,8.983372271481494,-0.04147235436977983,0.2
2021-09-30,5.6117903566206255,5.515869740622057,4.5606987125009155,7.735058834598214,0.005058927109661671,0.5
