ticker,signal_date,entry_date,exit_date,entry_price,exit_price,shares,dollars_in,dollars_out,pnl,return_pct,headline
COP,2022-03-01,2022-03-02,2022-03-16,98.37,95.2,508.2850462539392,50049.99999999999,48340.34766697164,-1709.6523330283526,-3.4158887772794264,"Targa (TRGP) Earnings Miss, Revenues Beat Estimates in Q4"
TECK,2022-03-01,2022-03-02,2022-03-16,37.43,38.32,1333.1578920678578,49950.00000000001,51035.52381361627,1085.5238136162661,2.1732208480806126,"Verso (VRS) Q4 Revenues and Earnings Beat Estimates, Up Y/Y"
CLFD,2022-03-29,2022-03-30,2022-04-13,71.0,59.36,1398.2618997986228,99375.87148058791,82917.8255456742,-16458.04593491371,-16.56141042056534,Plantronics (POLY) to be Acquired by HP for $40 Per Share in Cash
ATI,2022-04-14,2022-04-18,2022-05-02,30.4,27.22,2724.8352156289175,82917.8255456742,74095.84455484971,-8821.980990824493,-10.639426363110571,Air Products (APD) Buys Air Liquide's Gas Units in UAE & Bahrain
BP,2022-05-03,2022-05-04,2022-05-18,31.55,31.88,587.1303055059407,18542.48509985114,18698.996425389858,156.51132553871867,0.8440687679990379,"BP Beats Q1 Earnings Estimates, Announces Share Buyback"
DVN,2022-05-03,2022-05-04,2022-05-18,65.48,73.0,282.8949471397744,18542.48509985114,20630.679810062327,2088.194710211188,11.26167662514639,"Devon Energy (DVN) Q1 Earnings Beat Estimates, Sales Miss"
IMXI,2022-05-03,2022-05-04,2022-05-18,20.0,19.41,926.1980569356214,18542.48509985114,17959.52678083529,-582.9583190158482,-3.1439060939060877,Fidelity National Information Services (FIS) Q1 Earnings and Revenues Beat Estimates
MOS,2022-05-03,2022-05-04,2022-05-18,68.34,64.91,269.9727731340403,18468.389255296293,17506.408771426424,-961.9804838698692,-5.208794717135367,Institutional And Retail Traders Differ On Their Bets On Mosaic Earnings
DLNG,2022-05-25,2022-05-26,2022-06-10,4.18,3.8,8946.843515276782,37435.2036997508,33964.00735269372,-3471.196347057077,-9.27254563618198,What's in the Offing for Marvell (MRVL) This Earnings Season?
DY,2022-05-25,2022-05-26,2022-06-10,95.68,94.8,390.0824101479947,37360.40808796309,36942.83266954787,-417.5754184152247,-1.1176950140160826,Dycom Industries (DY) Q1 Earnings and Revenues Beat Estimates
