Feature,VIF
atr_ratio,17.481024912952172
ivol_60d,10.406725695414194
bollinger_squeeze,9.069482441523522
momentum_10d_ex1,7.01737754971696
near_52w_high,3.0914783465057782
rsi,2.8742250706448735
blowoff_ratio,2.0455108526744326
stability_score,1.9553318003044977
obv_momentum,1.5337512198737366
mom_accel_5_2,1.49159091637197
reversal_1d,1.107002046945715
liquidity_factor,1.0019281294271858
