date,spy_price,ma200,spy_deviation,ma200_state,blended_vol,vol_short,vol_long,vol_exposure,risk_cap,vix_regime,vix_override,theme_budget,final_exposure
2025-01-02,158.48117905276374,149.29057258440432,0.06156186763342563,RISK_ON,0.1118931280036264,0.11597055645361301,0.10237912828699094,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-03,160.4627359405506,149.40059254857874,0.07404350413386024,RISK_ON,0.11472399749375288,0.11951124647079128,0.10355374988066327,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-06,161.38710105509958,149.5088310476721,0.07944861801267115,RISK_ON,0.11571420976221557,0.12090716687538927,0.10359730983147693,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-07,159.56276755923014,149.6056389359057,0.06655583769533113,RISK_ON,0.11779855162757677,0.12338194953955538,0.1047706231662934,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-08,159.79589189896976,149.70494143069064,0.06740559377561332,RISK_ON,0.11752125170215011,0.12324099242316067,0.10417519001979214,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-10,157.35621857611318,149.79397862773797,0.05048427191568618,RISK_ON,0.1197092456386178,0.12587489453005143,0.10532273155860601,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-13,157.60018590839883,149.8855243740311,0.0514703575717974,RISK_ON,0.11642477904392823,0.12205509469072312,0.10328737586807347,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-14,157.81704575931943,149.97230151659133,0.05230795395815299,RISK_ON,0.11525674989841361,0.12065605632492951,0.10265836823654317,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-15,160.68772803588064,150.07356631142852,0.07072639096498781,RISK_ON,0.12427273524367954,0.13186220387025757,0.10656397511499746,0.9656180799810885,1.0,NORMAL,False,0.1,0.95
2025-01-16,160.3787027483188,150.17450757196525,0.06794891717200131,RISK_ON,0.12430936565543452,0.13196798813248795,0.10643924654230985,0.9653335399733325,1.0,NORMAL,False,0.1,0.95
2025-01-17,161.98888714140415,150.28795655215518,0.07785674153596157,RISK_ON,0.1258490162347042,0.1337403114693642,0.10743599402049762,0.9535235442460989,1.0,NORMAL,False,0.1,0.95
2025-01-21,163.4716663720736,150.40805425540145,0.08685447186551186,RISK_ON,0.10257585152350057,0.09992942160519878,0.10875085466620472,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-22,164.3906099903496,150.54125754943198,0.09199705560032284,RISK_ON,0.10216937555379857,0.09993172466080774,0.10739056097077719,1.0,1.0,NORMAL,False,0.1,0.95
2025-01-23,165.28786762353351,150.67175181969878,0.09700634410440181,RISK_ON,0.10025791070140047,0.09712782760283281,0.1075614379313917,1.0,1.0,NORMAL,False,0.1,0.95
