date,a1_spy_hvr,a2_soft_hrp_hvr,a3_soft_ml_hvr,a4_soft_eq_hvr,b1_spy_hmm,b2_soft_hrp_hmm,b3_soft_ml_hmm,b4_soft_eq_hmm,SPY
2022-02-24,100436.4075719872,99982.55925767646,,99982.55925767646,100650.0660619237,99848.20717124047,,99805.78467160412,100000.0
2022-02-25,101101.21545306726,100050.94752525262,,100050.94752525262,101642.53579884472,101589.80733047737,,100996.49701893362,102206.3973850105
2022-02-28,101023.61406325063,100124.8712526459,,100124.8712526459,101526.3142031949,101976.40679365545,,101733.39508951319,101944.89843567592
2022-03-01,100562.0284872339,100198.03533875823,,100198.03533875823,100835.2694598518,101946.88236193566,,101952.82785624494,100392.24842400185
2022-03-02,101117.01637876421,100111.03724346461,,100111.03724346461,101664.28021664906,103194.38396021035,,102949.60441321248,102239.0847536773
2022-03-03,100973.73885331764,100184.9563866789,,100184.9563866789,101444.23848557712,103499.03405033128,,103099.77800393471,101730.09572729393
2022-03-04,100727.62535887817,100292.06982749025,,100292.06982749025,101075.89533771294,104449.5448428885,,104114.17111715721,100903.57226243285
2022-03-07,99836.81622330274,100269.39266204122,,100269.39266204122,99744.27051148453,104226.94601831301,,104380.21439002389,97929.02171375202
2022-03-08,99609.73584594052,100211.65967181382,,100211.65967181382,99406.30291558428,104179.67542308306,,104814.38211976884,97186.55148260565
2022-03-09,100410.92118074464,100133.0662448926,,100133.0662448926,100597.38953132092,103799.59295762898,,103954.66924230669,99792.20172776093
2022-03-10,100274.89740178848,100099.11849014052,,100099.11849014052,100394.37888423572,104643.9668035895,,105016.921276737,99341.5830025683
2022-03-11,99884.71924769002,100057.38255532771,,100057.38255532771,99817.81640780969,104043.10321460057,,104606.74849351807,98078.44968480038
2022-03-14,99673.37180454486,99969.79728644023,,99969.79728644023,99497.83603827862,103128.72477470015,,103519.56987428182,97361.66238617792
2022-03-15,100315.66531255824,99965.2884119769,,99965.2884119769,100463.63363792245,102597.77645777224,,102397.76470979062,99502.68503385478
2022-03-16,100998.35833438765,99984.72733653132,,99984.72733653132,101471.37497222736,102841.1812504607,,102413.7363618899,101709.08241886529
2022-03-17,101377.43256393801,99992.94819918666,,99992.94819918666,102038.72582409614,104268.2611692047,,103749.03710647601,102981.55498482373
2022-03-18,101701.74981521191,99986.0192704676,,99986.0192704676,102530.47787469008,104354.7411694894,,103763.08344724665,104106.00256829326
2022-03-21,101692.8270035436,99919.09664133488,,99919.09664133488,102517.07726670885,105562.35067393108,,105157.55989381477,104075.55673833314
2022-03-22,102049.81255705636,99885.25241457541,,99885.25241457541,103053.1883140634,105536.1777267973,,104968.51324609556,105293.38993673844
2022-03-23,101671.17060774082,99957.39120084762,,99957.39120084762,102472.53875109203,105700.29217713264,,105466.32367967612,103937.37951005253
2022-03-24,102130.95888942116,99950.52455542558,,99950.52455542558,103162.88312569117,106131.72977862837,,105680.18585336498,105504.16875953935
2022-03-25,102315.31619488644,99882.89489821054,,99882.89489821054,103352.5884140609,107036.91254739702,,106518.87559840704,106019.40588194158
2022-03-28,102611.64764597417,99883.87519093559,,99883.87519093559,103651.92407207786,106293.87695871589,,105649.81348240392,106773.5256701849
2022-03-29,103128.51460813852,99938.42835591857,,99938.42835591857,104174.03102919899,106452.91741640873,,105651.00654821644,108094.40629307063
2022-03-30,102882.60032593712,100003.27469179728,,100003.27469179728,103925.62366910161,106824.12536266414,,106058.52334353143,107426.94002086773
2022-03-31,102237.83745630048,100011.59738622812,,100011.59738622812,103274.32419636876,106144.0247557286,,105474.82529826781,105773.49725534054
2022-04-01,102355.81826041146,99987.06516655386,,99987.06516655386,103393.50108934552,106583.3855269345,,105814.38164860068,106073.27158110184
2022-04-04,102706.21174573131,99968.42584695779,,99968.42584695779,103747.4468622565,106614.63326947944,,105873.6752548727,106981.9625060658
2022-04-05,102171.31495692172,99878.52417927374,,99878.52417927374,103207.12729218803,105983.09073943476,,105242.53693851134,105630.63605321992
2022-04-06,101761.95174541793,99904.75060688326,,99904.75060688326,102793.61395827211,106289.9542195237,,105458.13092591683,104574.39995229531
2022-04-07,101970.74148673704,99909.68680320225,,99909.68680320225,103004.52040905734,106858.6821755471,,105955.59693446841,105101.34700929763
2022-04-08,101853.10551488875,99884.7259659779,,99884.7259659779,102885.69184425121,107868.69375221648,,106965.9367023249,104820.3085788964
2022-04-11,101150.85690513537,99852.13499026463,,99852.13499026463,102176.32384122474,106532.18256908277,,105759.05398576483,103028.6885850886
2022-04-12,100998.25302007358,99898.21592016304,,99898.21592016304,102022.17285865694,107049.12477355509,,106345.69004880163,102646.94471712694
2022-04-13,101469.27171331769,99926.01958453131,,99926.01958453131,102497.96673731203,107706.58427702221,,106951.91241331107,103822.62215097205
2022-04-14,100948.23583643102,99852.64476860873,,99852.64476860873,101971.64860102972,107679.14035774324,,107002.71988978937,102529.84537112642
2022-04-18,100971.68269498849,99830.88855944724,,99830.88855944724,101995.33316373466,108134.26849641278,,107547.38526570455,102572.00113568659
