ticker,entry_date,exit_date,entry_price,exit_price,shares,dollars_in,dollars_out,pnl,return_pct
MAT,2023-02-13,2023-02-27,18.45,18.2,3.7123658907821957,68.56164383561644,67.49749415302372,-1.0641496825927135,-1.5521064301552066
PYPL,2023-02-13,2023-02-27,80.65,73.77,0.8492641126463918,68.56164383561644,62.587563376334394,-5.9740804592820425,-8.713444026525256
TAP,2023-02-13,2023-02-27,51.51,53.75,1.32970589565,68.56164383561644,71.40022019929631,2.838576363679877,4.140181309662958
IPAR,2023-02-13,2023-02-27,114.74,120.21,0.5969422231561052,68.56164383561644,71.68666622094982,3.1250223853333807,4.557974707878857
JBL,2023-02-13,2023-02-27,82.63,83.51,0.828913841037535,68.56164383561644,69.1533722701795,0.5917284345630662,0.8630604540080686
SONO,2023-02-13,2023-02-27,20.14,19.32,3.4008515732339375,68.56164383561644,65.63874794248478,-2.9228958931316527,-4.26316483913308
SMCI,2023-02-13,2023-02-27,8.945,10.113,7.657143732244998,68.56164383561644,77.35925786962946,8.797614034013023,12.83168480485416
ANET,2023-02-13,2023-02-27,33.625,34.5,2.0369710240871823,68.56164383561644,70.20522483067678,1.643580995060347,2.3972310217663404
WTW,2023-02-13,2023-02-27,244.73,236.62,0.27987231105680344,68.56164383561644,66.15716285601857,-2.4044809795978637,-3.507035195017863
RYAN,2023-02-13,2023-02-27,42.91,43.03,1.5962048633169776,68.56164383561644,68.61601057326102,0.05436673764458533,0.07929614082027431
MUSA,2023-02-13,2023-02-27,274.2,266.24,0.24979267208217182,68.56164383561644,66.43829621414227,-2.123347621474167,-3.0969905368154684
MPC,2023-02-13,2023-02-27,126.12,126.58,0.5430792157067198,68.56164383561644,68.67422415703244,0.11258032141600438,0.16420306620116523
RES,2023-02-13,2023-02-27,9.52,9.04,7.194658685391965,68.56164383561644,64.97467480142741,-3.586969034189025,-5.231743046869107
BWA,2023-02-13,2023-02-27,48.3,50.16,1.4180776539323294,68.56164383561644,71.05964434612439,2.49800051050795,3.643437308033574
CYBR,2023-02-13,2023-02-27,145.63,145.5,0.4703230837391438,68.56164383561644,68.36357667536137,-0.19806716025506432,-0.2888891648075863
TASK,2023-02-13,2023-02-27,18.44,20.74,3.71437910438891,68.56164383561644,76.95918640240096,8.397542566784523,12.24816398352188
RLI,2023-02-13,2023-02-27,65.58,66.785,1.0444213279190533,68.56164383561644,69.6819267066889,1.1202828710724617,1.633979012753041
TRV,2023-02-13,2023-02-27,186.76,185.33,0.3667442208445679,68.56164383561644,67.90073774267465,-0.6609060929417865,-0.96395893675825
PGR,2023-02-13,2023-02-27,139.04,141.69,0.49261472011602064,68.56164383561644,69.72878111354572,1.1671372779292852,1.7023181076690874
SNY,2023-02-13,2023-02-27,47.08,47.85,1.454824780903388,68.56164383561644,69.54375240046089,0.9821085648444523,1.432446058614286
AZN,2023-02-13,2023-02-27,68.53,66.8,0.9994622892883629,68.56164383561644,66.69731684353818,-1.8643269920782615,-2.7191982102240377
NVO,2023-02-13,2023-02-27,70.34,71.68,0.9737439676561204,68.56164383561644,69.72816963398913,1.1665257983726889,1.7014262393847412
RCL,2023-02-13,2023-02-27,71.74,72.04,0.9547414369240523,68.56164383561644,68.71079354289273,0.14914970727629395,0.21754103159179736
LGND,2023-02-13,2023-02-27,70.04,73.04,0.9779147727717233,68.56164383561644,71.35546810824344,2.793824272627006,4.074908529505923
SPG,2023-02-13,2023-02-27,124.5,122.51,0.550145788633988,68.56164383561644,67.33096220498433,-1.2306816306321053,-1.7950001805423315
MAC,2023-02-13,2023-02-27,13.19,12.15,5.192808998099432,68.56164383561644,63.029536697581186,-5.532107138035251,-8.06880761391755
FRT,2023-02-13,2023-02-27,110.3,106.72,0.6209714477328333,68.56164383561644,66.20380282914593,-2.357841006470508,-3.439008860586356
REG,2023-02-13,2023-02-27,65.67,63.07,1.0429899601786432,68.56164383561644,65.71559541167856,-2.846048423937873,-4.151079619329965
NYT,2023-02-13,2023-02-27,39.59,38.76,1.7300619016148395,68.56164383561644,66.99014210728458,-1.571501728331853,-2.292100422941564
URBN,2023-02-13,2023-02-27,26.56,26.86,2.578808384221819,68.56164383561644,69.19752640699785,0.6358825713814156,0.927461093123743
OXM,2023-02-13,2023-02-27,113.91,116.14,0.601291815336068,68.56164383561644,69.76419740169781,1.2025535660813773,1.7539742322465646
ARHS,2023-02-13,2023-02-27,13.96,14.41,4.906386152215724,68.56164383561644,70.63032342897516,2.0686795933587234,3.017254951352384
CAH,2023-02-13,2023-02-27,79.8,77.41,0.8583101589590415,68.56164383561644,66.37534761561439,-2.186296220002049,-3.188803677525466
HOLX,2023-02-13,2023-02-27,82.05,80.27,0.8347733173056857,68.56164383561644,66.94024692594726,-1.6213969096691727,-2.364874613503489
HAE,2023-02-13,2023-02-27,80.99,79.97,0.8456988601670763,68.56164383561644,67.56290730971352,-0.9987365259029133,-1.4566986291890645
OI,2023-02-13,2023-02-27,21.88,22.09,3.1303999398963214,68.56164383561644,69.08138413763743,0.5197403020209919,0.7580627781724757
DE,2023-02-13,2023-02-27,419.38,421.63,0.16332002166276768,68.56164383561644,68.79176011293906,0.2301162773226224,0.3356341307602685
SON,2023-02-13,2023-02-27,59.75,59.36,1.1463288817561759,68.56164383561644,67.97803633862556,-0.5836074969908793,-0.851215729876807
TS,2023-02-13,2023-02-27,34.31,34.02,1.9963028471271205,68.56164383561644,67.84630863640538,-0.7153351992110544,-1.043346044803336
LVS,2023-02-13,2023-02-27,57.19,56.02,1.19764208226843,68.56164383561644,67.02481753922878,-1.5368262963876589,-2.2415248678581237
MGM,2023-02-13,2023-02-27,43.8,42.84,1.563770563582911,68.56164383561644,66.92493901294803,-1.6367048226684062,-2.3872018392566163
MANU,2023-02-13,2023-02-27,24.73,20.78,2.7696381190833606,68.56164383561644,57.495527034437686,-11.066116801178751,-16.140390139581395
OSW,2023-02-13,2023-02-27,10.8,11.7,6.341958396752917,68.56164383561644,74.12671232876711,5.565068493150676,8.116883116883104
FMX,2023-02-13,2023-02-27,82.73,92.79,0.8279118903049861,68.56164383561644,76.74512235709827,8.183478521481831,11.935942698664809
MNST,2023-02-13,2023-02-27,51.7,51.16,1.3248191621843617,68.56164383561644,67.70997058901459,-0.8516732466018482,-1.242200739299399
CVE,2023-02-13,2023-02-27,19.99,18.58,3.426370719606379,68.56164383561644,63.59830600231623,-4.9633378333002085,-7.23923400261569
SU,2023-02-13,2023-02-27,34.0,34.11,2.0145044319097503,68.56164383561644,68.64603142626913,0.08438759065269608,0.12308279955338289
PBF,2023-02-13,2023-02-27,42.11,44.76,1.626529344215899,68.56164383561644,72.73064999365653,4.169006158040091,6.080668322416117
SO,2023-02-13,2023-02-27,66.8,64.37,1.0253465671396933,68.56164383561644,65.93555696825528,-2.6260868673611526,-3.8302565697775055
AEM,2023-02-13,2023-02-27,50.9,45.94,1.345641467287456,68.56164383561644,61.75695023817853,-6.804693597437904,-9.924927724534806
GOLD,2023-02-13,2023-02-27,17.74,15.97,3.860944232521506,68.56164383561644,61.59762011397508,-6.964023721641354,-10.157317316280096
KGC,2023-02-13,2023-02-27,4.18,3.63,16.385921216490793,68.56164383561644,59.42141312184572,-9.14023071377072,-13.331405436668584
KELYA,2023-02-13,2023-02-27,17.99,16.54,3.8072901992735693,68.56164383561644,62.909607316088845,-5.6520365195275915,-8.243729588921363
SHAK,2023-02-13,2023-02-27,56.06,55.28,1.2217829233844364,68.56164383561644,67.47261984468695,-1.0890239909294905,-1.5883866401169393
H,2023-02-13,2023-02-27,109.63,116.33,0.6247664935230458,68.56164383561644,72.60640710534437,4.044763269727937,5.8994549188839045
CHH,2023-02-13,2023-02-27,122.0,118.5,0.5614192679092747,68.56164383561644,66.4616550640018,-2.0999887716146333,-3.062920685871493
