date,p_buyhold,p_baseline,p_2level,p_consensus,p_b1_cont,QQQ,SPY
2022-02-24,101889.3041910168,100283.64951882705,100283.64951882705,100283.64951882705,100283.64951882705,100000.0,100000.0
2022-02-25,103624.50379114335,100539.8277554819,100539.8277554819,100539.8277554819,100539.8277554819,101550.7063349878,102206.3973850105
2022-02-28,104294.56605137329,100637.34515015827,100637.34515015827,100637.34515015827,100637.34515015827,101853.21154806309,101944.89843567592
2022-03-01,103911.95405595955,100581.96586689522,100581.96586689522,100581.96586689522,100581.96586689522,100293.69438162647,100392.24842400185
2022-03-02,105874.76165541132,100866.95191411895,100866.95191411895,100866.95191411895,100866.95191411895,101976.5631883462,102239.0847536773
2022-03-03,105599.63228336297,100837.01390491315,100837.01390491315,100837.01390491315,100837.01390491315,100519.83905547885,101730.09572729393
2022-03-04,105150.85694459097,100772.73361705027,100772.73361705027,100772.73361705027,100772.73361705027,99063.11492261152,100903.57226243285
2022-03-07,103063.97348782426,100472.7347057869,100472.7347057869,100472.7347057869,100472.7347057869,95409.55681517812,97929.02171375202
2022-03-08,102683.80126536344,100417.14261833309,100417.14261833309,100417.14261833309,100417.14261833309,94966.07829892215,97186.55148260565
2022-03-09,104360.63745943717,100663.11583490607,100663.11583490607,100663.11583490607,100663.11583490607,98384.68090105437,99792.20172776093
2022-03-10,103887.28599994097,100594.6287588046,100594.6287588046,100594.6287588046,100594.6287588046,97292.13780140385,99341.5830025683
2022-03-11,102560.34650617665,100392.54330673926,100392.54330673926,100392.54330673926,100392.54330673926,95274.45739962993,98078.44968480038
2022-03-14,100595.73767640603,100113.4160956314,100113.4160956314,100113.4160956314,100113.4160956314,93444.74140209697,97361.66238617792
2022-03-15,102029.3026301063,100308.80323826015,100308.80323826015,100308.80323826015,100308.80323826015,96375.81133072922,99502.68503385478
2022-03-16,104302.60634780778,100662.70565555127,100662.70565555127,100662.70565555127,100662.70565555127,99950.07195512347,101709.08241886529
2022-03-17,106389.06487673109,100964.7526054508,100964.7526054508,100964.7526054508,100964.7526054508,101160.09280742455,102981.55498482373
2022-03-18,107748.5956353379,101148.89729484121,101148.89729484121,101148.89729484121,101148.89729484121,103230.63819789124,104106.00256829326
2022-03-21,108458.58237767674,101248.87220726314,101248.87220726314,101248.87220726314,101248.87220726314,102943.9014361655,104075.55673833314
2022-03-22,109604.66766243015,101409.35721452224,101409.35721452224,101409.35721452224,101409.35721452224,104967.02198541372,105293.38993673844
2022-03-23,108761.10833266341,101311.14408355938,101311.14408355938,101311.14408355938,101311.14408355938,103458.50332005857,103937.37951005253
