date,no_regime,hvr_no_hysteresis,hvr_hysteresis,full,SPY
2022-02-25,100000.0,100062.21339262578,100062.21339262578,100062.21339262578,113730.83507825616
2022-02-28,100000.0,100141.58970703822,100141.58970703822,100141.58970703822,113439.85041740487
2022-03-01,100000.0,100219.7496952367,100219.7496952367,100219.7496952367,111712.12899360043
2022-03-02,100000.0,100124.11447732431,100124.11447732431,100124.11447732431,113767.20816086256
2022-03-03,100010.93912378709,100200.52929906038,100200.52929906038,100200.52929906038,113200.82730313417
2022-03-04,99978.85710212048,100313.10065667343,100313.10065667343,100313.10065667343,112281.10792865785
2022-03-07,98162.81491905873,100288.887103158,100288.887103158,100288.887103158,108971.15741147455
2022-03-08,97154.80790426202,100227.92534188722,100227.92534188722,100227.92534188722,108144.96882084326
2022-03-09,98509.54046184308,100143.53960165252,100143.53960165252,100143.53960165252,111044.42312003992
2022-03-10,98384.86373771576,100107.47562306104,100107.47562306104,100107.47562306104,110542.99419553728
2022-03-11,97515.71209845536,100064.94546320668,100064.94546320668,100064.94546320668,109137.43436053245
2022-03-14,97382.25826422806,99969.51879280529,99969.51879280529,99969.51879280529,108339.82462052045
2022-03-15,98791.28750701445,99963.4197678303,99963.4197678303,99963.4197678303,110722.26153124029
2022-03-16,99892.2101186594,99982.4000008057,99982.4000008057,99982.4000008057,113177.44460717296
2022-03-17,100935.4615611476,99990.05142883061,99990.05142883061,99990.05142883061,114593.39675149391
2022-03-18,101328.04832728943,99983.77519562015,99983.77519562015,99983.77519562015,115844.63313142401
2022-03-21,101475.04352499281,99910.55514684293,99910.55514684293,99910.55514684293,115810.75433562836
2022-03-22,102104.34195485426,99873.51948215658,99873.51948215658,99873.51948215658,117165.90616745461
2022-03-23,101299.51235633166,99949.23328799574,99949.23328799574,99949.23328799574,115656.99672394039
2022-03-24,102223.71261471612,99940.15847222334,99940.15847222334,99940.15847222334,117400.45167680914
2022-03-25,102949.36665830913,99867.27527311265,99867.27527311265,99867.27527311265,117973.78514412025
2022-03-28,103359.55095356941,99868.05167922223,99868.05167922223,99868.05167922223,118812.93685536651
2022-03-29,104319.43970335064,99925.05910541666,99925.05910541666,99925.05910541666,120282.75538065498
2022-03-30,104166.49968323494,99992.18545728689,99992.18545728689,99992.18545728689,119540.0279343656
2022-03-31,103240.70160528162,100001.37382381606,100001.37382381606,100001.37382381606,117700.14871653996
2022-04-01,103911.55968507816,99973.31233816502,99973.31233816502,99973.31233816502,118033.72455206641
2022-04-04,103915.69014890458,99954.50963180281,99954.50963180281,99954.50963180281,119044.87630350603
2022-04-05,103539.58312440522,99858.14807443136,99858.14807443136,99858.14807443136,117541.17898242189
2022-04-06,103901.46878337397,99882.88290344452,99882.88290344452,99882.88290344452,116365.84537443411
2022-04-07,104427.76693486898,99886.75467196922,99886.75467196922,99886.75467196922,116952.20914782047
2022-04-08,104667.07319660146,99859.77978152214,99859.77978152214,99859.77978152214,116639.48180201442
2022-04-11,103510.93880229992,99824.66830046798,99824.66830046798,99824.66830046798,114645.84497250081
2022-04-12,103301.44165669252,99873.46938690307,99873.46938690307,99873.46938690307,114221.05699444757
2022-04-13,103942.16407758782,99902.56382752118,99902.56382752118,99902.56382752118,115529.29972440291
2022-04-14,103439.26747673175,99824.45763102722,99824.45763102722,99824.45763102722,114090.75393369503
2022-04-18,103097.20408866543,99454.53974715107,99801.19627351731,99801.19627351731,114137.66303556594
2022-04-19,104324.85977714292,99362.40086786737,99750.88145106076,99750.88145106076,115980.14831460666
2022-04-20,104898.80928503457,99485.46000889005,99861.41937528888,99861.41937528888,115894.14829450997
2022-04-21,103800.2121275318,99415.8032104349,99801.15016594688,99801.15016594688,114161.11758650141
2022-04-22,101551.7096296346,99340.21882555546,99741.94850420361,99741.94850420361,111028.63200601074
2022-04-25,101702.74753784516,99361.27889317498,99770.44936356388,99770.44936356388,111672.32912612821
2022-04-26,99966.16788660285,99361.14164102991,99777.52135547857,99777.52135547857,108438.20715825056
2022-04-27,99996.91192912741,99306.92948421929,99728.38074477953,99728.38074477953,108743.11632041147
