ticker,signal_date,entry_date,entry_price,atr_pct,c0_exit_price,c0_return_pct,c0_pnl,va_return_pct,va_exit_reason,tp1_hit,tp2_hit,day3_stopped,hard_stopped,n_partial_exits,wavg_exit_price,R_dollar,stop_init,tp1_price,tp2_price,ambiguous_days
ARLO,2022-03-02,2022-03-03,11.05,5.6254308693986985,9.77,-11.936669647131097,-1708.6489980607657,-7.122770468255368,hard_stop,False,False,False,True,1,10.304067866717734,0.6216101110685562,10.304067866717734,12.293220222137114,12.91483033320567,0
OPXS,2022-03-02,2022-03-03,1.9,2.9917726252804795,1.99,4.3187309591343555,618.1954887218035,2.7460867738207773,day3_stop,False,False,True,False,2,1.96,0.0568436798803291,1.8317875841436049,2.013687359760658,2.0705310396409873,0
RCKY,2022-03-02,2022-03-03,48.12,5.250850161003945,44.71,-7.457362913408429,-1067.4682341764637,-6.6750680167847465,hard_stop,False,False,False,True,1,45.08794908302988,2.526709097475098,45.08794908302988,53.173418194950195,55.70012729242529,0
ARDX,2022-03-02,2022-03-03,0.86,8.85042016806723,0.92,6.549691315044315,937.5415282392005,10.529509146647097,tp1_only,True,False,False,False,2,0.9543636134453781,0.07611361344537818,0.7686636638655462,1.0122272268907564,1.0883408403361345,0
GEOS,2022-03-02,2022-03-03,7.0,5.534989648033129,6.44,-8.36726546906188,-1197.7142857142862,-11.213002566295982,hard_stop,False,False,False,True,1,6.24,0.387449275362319,6.535060869565218,7.774898550724638,8.162347826086958,0
RIGL,2022-03-02,2022-03-03,30.1,5.380639097744363,31.1,2.909795027884417,416.5163739914551,-0.3992015968063978,time_expiry,False,False,False,False,1,30.1,1.6195723684210535,28.156513157894736,33.33914473684211,34.95871710526316,0
VEON,2022-03-02,2022-03-03,11.7425,34.26399182213136,9.5,-19.420261032119278,-2741.0311285334064,-20.734983088963666,day3_stop,False,False,True,False,2,9.344999999999999,4.023449239713774,6.91436091234347,19.789398479427547,23.812847719141324,0
WULF,2022-03-11,2022-03-14,9.2,18.027564969205347,8.38,-9.276664063177984,-1106.7976938728098,-21.945919967185944,hard_stop,False,False,False,True,1,7.20975682739973,1.6585359771668917,7.20975682739973,12.517071954333783,14.175607931500675,0
USCB,2022-03-11,2022-03-14,13.94,3.745051020408161,13.8,-1.3994965592487756,-166.97376921384785,-0.5599632871989058,day3_stop,False,False,True,False,2,13.9175,0.5220601122448977,13.313527865306122,14.984120224489795,15.506180336734692,0
TH,2022-03-11,2022-03-14,5.48,6.646246089676744,5.59,1.6000845025277826,190.90589303852357,6.220512572352699,breakeven_stop,True,False,False,False,2,5.844214285714286,0.36421428571428555,5.042942857142858,6.208428571428572,6.572642857142857,0
PSO,2022-03-11,2022-03-14,10.18,4.7653958944281545,10.47,2.438149241791473,290.8952981108687,-0.9862397013438717,time_expiry,False,False,False,False,1,10.12,0.4851173020527861,9.597859237536657,11.150234604105572,11.635351906158357,0
OPFI,2022-03-11,2022-03-14,3.55,9.002290712203248,4.1,15.031908014956016,1793.4551701079872,-11.158825705523567,hard_stop,False,False,False,True,1,3.1665024156601413,0.3195813202832153,3.1665024156601413,4.189162640566431,4.508743960849646,0
AMPH,2022-03-11,2022-03-14,34.3,4.511724281549355,35.44,2.911145638751642,347.3284423748337,1.2559720209726288,day3_stop,False,False,True,False,2,34.870000000000005,1.5475214285714285,32.442974285714286,37.395042857142855,38.94256428571428,0
SHLS,2022-03-11,2022-03-14,17.57,8.55389030612245,21.33,20.915482637456996,2495.4237635122226,21.56800347529899,tp1+tp2,True,True,False,False,3,21.445107421875,1.5029185267857144,15.766497767857143,20.57583705357143,22.078755580357143,0
INSE,2022-03-11,2022-03-14,13.16,5.917524098342901,13.8,4.444606228272947,521.8178123765047,1.1144883485308954,time_expiry,False,False,False,False,1,13.36,0.7787461713419258,12.225504594389689,14.717492342683851,15.496238514025777,0
RAIL,2022-03-22,2022-03-23,5.3,7.2119091629258,5.99,12.567694799081085,1568.176417523564,12.17125683937117,hard_stop,True,True,False,True,3,5.968904574861368,0.38223118563506736,4.841322577237919,6.064462371270134,6.446693556905202,0
GME,2022-03-22,2022-03-23,32.5,9.882387062344831,47.225,44.727621679717494,5581.039534408264,23.90908621656751,tp1+tp2,True,True,False,False,3,40.431857641708625,3.2117757952620702,28.645869045685515,38.92355159052414,42.13532738578621,0
PDD,2022-03-22,2022-03-23,46.83,14.184830633284239,44.52,-5.312245464228482,-662.8533071720303,-3.7383699395997505,day3_stop,False,False,True,False,2,45.260000000000005,6.642756185567009,38.85869257731959,60.11551237113402,66.75826855670103,0
TIGR,2022-03-22,2022-03-23,6.37,9.720136895561936,5.465,-14.549707492393548,-1815.488722172482,-12.016802341442101,hard_stop,False,False,False,True,1,5.626992735703245,0.6191727202472953,5.626992735703245,7.608345440494591,8.227518160741885,0
BILI,2022-03-22,2022-03-23,28.66,15.045150501672241,29.36,2.033476661471191,253.73389448770104,2.21592753084201,day3_stop,False,False,True,False,2,29.4125,4.311940133779264,23.485671839464885,37.28388026755853,41.59582040133779,0
AOSL,2022-03-22,2022-03-23,62.57,6.090448544081057,55.59,-11.510174472853864,-1436.22075953268,-7.67856404829489,hard_stop,False,False,False,True,1,57.99704761516218,3.8107936540315173,57.99704761516218,70.19158730806303,74.00238096209455,0
SEV,2022-03-22,2022-03-23,6.37,6.896800360522756,5.55,-13.220654452476516,-1649.651655935937,-9.3116749233088,hard_stop,False,False,False,True,1,5.8,0.43932618296529957,5.84280858044164,7.2486523659305995,7.687978548895899,0
